userLanguage	distributionChannel	_recordId	duration	locationLongitude	responseId	progress	PROLIFIC_PID	startDate	QID6	QID3	recordedDate	QID5	endDate	status	QID8	finished	locationLatitude	QID1	ipAddress	QID2
EN	anonymous	R_6CQyaVMkNy6CaIz	161	-79.1577	R_6CQyaVMkNy6CaIz	100	60fe04ef652fd1fafaa4ae50	2023-12-25T15:51:30Z	1	2	2023-12-25T15:54:12.622Z	1	2023-12-25T15:54:11Z	0	5	1	42.537	1	76.180.10.86	1
EN	anonymous	R_7JpXbpYEzu51fYU	83	-73.7262	R_7JpXbpYEzu51fYU	100	631e42d73ed7ab9812b91cc2	2023-12-25T15:56:02Z	1	2	2023-12-25T15:57:27.027Z	3	2023-12-25T15:57:26Z	0	5	1	40.789	1	69.118.27.66	1
EN	anonymous	R_7TZTzOGOtLtpIml	170	-95.9272	R_7TZTzOGOtLtpIml	100	5a230e4fd5510b0001977feb	2023-12-25T15:55:41Z	1	2	2023-12-25T15:58:32.528Z	3	2023-12-25T15:58:31Z	0	5	1	36.7407	1	24.119.33.150	1
EN	anonymous	R_5kUnqBXqAtLpXEw	86	-81.6221	R_5kUnqBXqAtLpXEw	100	61087b35fb326cf69c073aff	2023-12-25T15:57:08Z	1	3	2023-12-25T15:58:35.654Z	1	2023-12-25T15:58:34Z	0	5	1	28.6344	3	174.211.228.230	1
EN	anonymous	R_6jSPT1RsekHEO7E	203	-93.1551	R_6jSPT1RsekHEO7E	100	559ae660fdf99b361ac4662c	2023-12-25T15:55:59Z	1	2	2023-12-25T15:59:23.468Z	1	2023-12-25T15:59:22Z	0	5	1	44.9548	1	174.20.60.209	1
EN	anonymous	R_6b28ipstbAG0V5A	215	-84.3871	R_6b28ipstbAG0V5A	100	63bc8a7755c8f23d7bfa3d65	2023-12-25T15:56:03Z	1	2	2023-12-25T15:59:39.444Z	3	2023-12-25T15:59:38Z	0	5	1	33.7485	1	107.77.232.25	1
EN	anonymous	R_7HIGWj8uTydiSmu	143	-94.7191	R_7HIGWj8uTydiSmu	100	5d851419d126db0001cf0396	2023-12-25T15:57:26Z	2	1	2023-12-25T15:59:49.910Z	4	2023-12-25T15:59:49Z	0	5	1	39.214	1	136.35.232.68	1
EN	anonymous	R_6U9FosDLjBmZXbq	319	-82.9665	R_6U9FosDLjBmZXbq	100	6581a4070f9c1b2a8087e758	2023-12-25T15:55:34Z	3	1	2023-12-25T16:00:54.410Z	3	2023-12-25T16:00:53Z	0	2	1	40.0818	4	172.59.33.191	3
EN	anonymous	R_19l4HRAF7jpf71L	131	-80.6031	R_19l4HRAF7jpf71L	100	65269d090fba3d983ba6a949	2023-12-25T15:59:19Z	1	2	2023-12-25T16:01:31.299Z	2	2023-12-25T16:01:30Z	0	5	1	35.4838	1	69.40.192.114	1
EN	anonymous	R_3iCgJBQI3OwVpVw	78	-86.8927	R_3iCgJBQI3OwVpVw	100	595bee9282be5500017ad683	2023-12-25T16:01:10Z	1	2	2023-12-25T16:02:30.129Z	3	2023-12-25T16:02:29Z	0	5	1	33.5484	1	107.146.135.79	1
EN	anonymous	R_3k0omBgqDSArT7c	116	-97.0394	R_3k0omBgqDSArT7c	100	5dd6f563270f44688d3cd745	2023-12-25T16:01:12Z	3	2	2023-12-25T16:03:09.222Z	3	2023-12-25T16:03:08Z	0	4	1	47.8977	1	140.186.119.105	1
EN	anonymous	R_623CjzF9tEnGf9r	94	-81.5135	R_623CjzF9tEnGf9r	100	55c65b6cfdf99b537b7f9dc7	2023-12-25T16:01:34Z	2	1	2023-12-25T16:03:09.781Z	3	2023-12-25T16:03:09Z	0	1	1	28.7115	1	184.90.141.95	1
EN	anonymous	R_6jrY3qgmrzLu7nl	88	-117.6622	R_6jrY3qgmrzLu7nl	100	64543d5ed0c75f8501046ef4	2023-12-25T16:02:56Z	1	2	2023-12-25T16:04:25.275Z	3	2023-12-25T16:04:24Z	0	5	1	33.6128	1	104.53.140.14	1
EN	anonymous	R_3dWLDVSNn3wkPyc	228	-112.0253	R_3dWLDVSNn3wkPyc	100	60fcf2039a5cdfcc26e4d063	2023-12-25T16:01:02Z	1	2	2023-12-25T16:04:50.944Z	3	2023-12-25T16:04:50Z	0	5	1	33.5038	1	71.209.177.44	1
EN	anonymous	R_5zUuVp6fu4dCaW8	190	-73.9904	R_5zUuVp6fu4dCaW8	100	6081ca47eeed1bb51c1d7f7b	2023-12-25T16:01:58Z	1	2	2023-12-25T16:05:09.645Z	3	2023-12-25T16:05:09Z	0	5	1	40.7359	1	68.237.205.23	1
EN	anonymous	R_6gf2GC7pNVjzqmd	162	-76.8078	R_6gf2GC7pNVjzqmd	100	6362284d068a62906d1cc4d1	2023-12-25T16:03:20Z	1	3	2023-12-25T16:06:04.206Z	2	2023-12-25T16:06:03Z	0	4	1	42.0943	4	76.37.96.98	1
EN	anonymous	R_3iUlt0uaZmh2HXb	125	-95.6599	R_3iUlt0uaZmh2HXb	100	62acca0e028fea59c33bf2fe	2023-12-25T16:04:35Z	1	1	2023-12-25T16:06:41.741Z	1	2023-12-25T16:06:40Z	0	5	1	29.8478	3	174.203.6.167	1
