endDate	PROLIFIC_PID	QID2	recordedDate	_recordId	userLanguage	responseId	progress	QID5	locationLatitude	finished	QID1	status	QID8	QID3	QID4	locationLongitude	ipAddress	startDate	duration	distributionChannel	QID6
2023-12-18T21:45:33Z	6478e9af7d038af16d294843	3	2023-12-18T21:45:33.639Z	R_1B2WOkn8iPq5eQp	EN	R_1B2WOkn8iPq5eQp	100	3	32.9247	1	1	0	5	2	4	-96.8917	76.192.101.167	2023-12-18T21:41:17Z	255	anonymous	1
2023-12-18T21:45:43Z	60fe4500b9d48a537a42f35a	2	2023-12-18T21:45:44.343Z	R_6uCgpyqh0fR7UEt	EN	R_6uCgpyqh0fR7UEt	100	3	42.4444	1	1	0	5	3	4	-76.4926	76.37.146.98	2023-12-18T21:42:34Z	189	anonymous	1
2023-12-18T21:45:47Z	655fa6bf1cfd3bd5343e7778	1	2023-12-18T21:45:47.537Z	R_7mtpe4YHza2H9LD	EN	R_7mtpe4YHza2H9LD	100	4	21.3037	1	1	0	5	1	4	-157.8667	172.56.44.124	2023-12-18T21:43:16Z	150	anonymous	1
2023-12-18T21:45:58Z	5a4fab63eedc32000141ec5c	1	2023-12-18T21:45:59.491Z	R_6wB5j2EIAq2L23q	EN	R_6wB5j2EIAq2L23q	100	2	34.5251	1	1	0	5	1	4	-82.6307	75.130.148.228	2023-12-18T21:41:32Z	266	anonymous	1
2023-12-18T21:46:15Z	62b49c65c45131879b8438d3	1	2023-12-18T21:46:15.706Z	R_7g5dhwjwmBtfDUp	EN	R_7g5dhwjwmBtfDUp	100	1	40.6982	1	1	0	5	1	4	-111.841	136.38.96.108	2023-12-18T21:44:11Z	123	anonymous	1
2023-12-18T21:46:16Z	600c167e28de48080e812884	1	2023-12-18T21:46:16.681Z	R_5GNyhPw1S3pq8lO	EN	R_5GNyhPw1S3pq8lO	100	3	36.1174	1	1	0	5	1	4	-83.8164	97.148.96.52	2023-12-18T21:44:01Z	134	anonymous	1
2023-12-18T21:47:46Z	60ff5cd36ed5a267f814bf36	1	2023-12-18T21:47:46.607Z	R_5OoF9wQazS2w1QR	EN	R_5OoF9wQazS2w1QR	100	3	33.7976	1	1	0	5	2	4	-118.063	45.51.41.82	2023-12-18T21:41:08Z	398	anonymous	1
2023-12-18T21:49:33Z	656a0556c9c6effafb945b4b	1	2023-12-18T21:49:33.811Z	R_5DnJVNb1q2xPcYX	EN	R_5DnJVNb1q2xPcYX	100	1	39.9275	1	1	0	5	2	4	-82.0032	74.129.5.57	2023-12-18T21:47:07Z	146	anonymous	1
2023-12-18T21:56:12Z	6121e36192d8fd0203910a30	1	2023-12-18T21:56:12.726Z	R_50kGwmpV4UjsCAA	EN	R_50kGwmpV4UjsCAA	100	1	42.3914	1	1	0	4	1	4	-83.1493	172.58.127.22	2023-12-18T21:38:16Z	1075	anonymous	1
2023-12-25T15:32:18Z	656f4c13a2c8f844c7ec6b94	1	2023-12-25T15:32:19.419Z	R_6F4KnadWDZn7CvR	EN	R_6F4KnadWDZn7CvR	100	3	39.884	1	1	0	5	2	4	-74.9721	108.24.175.139	2023-12-25T15:26:00Z	377	anonymous	3
